timestamp_ms_device,ppg_finger1,ppg_finger2,ppg_finger3
1412762,1882,1872,1872
1412772,1887,1854,1841
1412782,1883,1872,1869
1412792,1878,1861,1854
1412802,1915,1872,1873
1412812,1882,1869,1869
1412822,1872,1863,1862
1412832,1856,1859,1860
1412842,1881,1869,1872
1412852,1889,1871,1876
1412862,1879,1871,1868
1412872,1872,1863,1861
1412882,1845,1855,1854
1412892,1872,1872,1873
1412902,1879,1878,1877
1412912,1872,1869,1869
1412922,1872,1862,1865
1412932,1866,1849,1847
1412942,1862,1862,1859
1412952,1890,1872,1863
1412962,1879,1871,1870
1412972,1872,1867,1869
1412982,1867,1861,1867
1412992,1864,1856,1858
1413002,1888,1872,1873
1413012,1877,1870,1872
1413022,1875,1872,1868
1413032,1851,1858,1863
1413042,1885,1872,1884
1413052,1897,1883,1897
1413062,1892,1872,1872
1413072,1888,1872,1874
1413082,1886,1870,1872
1413092,1879,1866,1872
1413102,1894,1875,1885
1413112,1899,1873,1878
1413122,1898,1872,1875
1413132,1856,1854,1858
1413142,1901,1875,1885
1413152,1889,1872,1872
1413162,1891,1872,1872
1413172,1882,1872,1872
1413182,1883,1862,1855
1413192,1874,1869,1872
1413202,1885,1874,1883
1413212,1875,1872,1867
1413222,1875,1869,1867
1413232,1842,1853,1852
1413242,1879,1871,1874
1413252,1868,1862,1859
1413262,1872,1871,1869
1413272,1872,1866,1869
1413282,1863,1867,1869
1413292,1851,1858,1854
1413302,1870,1867,1871
1413312,1877,1869,1869
1413322,1876,1867,1870
1413332,1890,1853,1847
1413342,1863,1862,1858
1413352,1872,1873,1869
1413362,1883,1870,1871
1413372,1881,1870,1872
1413382,1883,1869,1845
1413392,1865,1867,1865
1413402,1878,1872,1872
1413412,1889,1870,1871
1413422,1884,1872,1871
1413432,1878,1872,1875
1413442,1869,1863,1870
1413452,1885,1872,1872
1413462,1875,1870,1870
1413472,1879,1866,1867
1413482,1875,1871,1870
1413492,1879,1868,1859
1413502,1862,1859,1856
1413512,1877,1866,1870
1413522,1875,1871,1866
1413532,1872,1867,1870
1413542,1853,1856,1857
1413552,1871,1871,1869
1413562,1876,1877,1882
1413572,1872,1871,1871
1413582,1874,1869,1872
1413592,1857,1859,1859
1413602,1874,1869,1871
1413612,1905,1858,1872
1413622,1874,1867,1872
1413632,1878,1867,1870
1413642,1865,1856,1849
1413652,1863,1863,1862
1413662,1888,1871,1873
1413672,1879,1869,1871
1413682,1878,1872,1872
1413692,1878,1862,1871
1413702,1874,1855,1863
1413712,1891,1872,1883
1413722,1890,1872,1877
1413732,1891,1872,1873
1413742,1869,1845,1851
1413752,1891,1872,1873
1413762,1902,1872,1887
1413772,1904,1875,1879
1413782,1904,1874,1877
1413792,1875,1851,1853
1413802,1888,1867,1872
1413812,1898,1872,1878
1413822,1899,1872,1875
1413832,1892,1872,1872
1413842,1867,1850,1843
1413852,1869,1863,1856
1413862,1872,1869,1870
1413872,1889,1872,1872
1413882,1884,1871,1872
1413892,1840,1852,1847
1413902,1869,1865,1869
1413912,1879,1872,1872
1413922,1878,1872,1872
1413932,1874,1870,1871
1413942,1841,1859,1859
1413952,1872,1872,1873
1413962,1861,1856,1853
1413972,1879,1872,1872
1413982,1875,1868,1870
1413992,1853,1863,1866
1414002,1883,1864,1866
1414012,1867,1860,1855
1414022,1886,1871,1872
1414032,1882,1868,1871
1414042,1872,1854,1850
1414052,1872,1869,1873
1414062,1879,1865,1859
1414072,1892,1873,1876
1414082,1883,1872,1871
1414092,1876,1850,1857
1414102,1857,1857,1854
1414112,1872,1871,1874
1414122,1881,1873,1875
1414132,1876,1871,1872
1414142,1871,1869,1866
1414152,1872,1873,1872
1414162,1862,1864,1855
1414172,1882,1875,1875
1414182,1877,1867,1869
1414192,1872,1868,1869
1414202,1845,1858,1856
1414212,1880,1872,1876
1414222,1870,1872,1873
1414232,1877,1870,1871
1414242,1872,1865,1869
1414252,1882,1857,1859
1414262,1861,1857,1859
1414272,1872,1871,1867
1414282,1876,1867,1872
1414292,1872,1864,1867
1414302,1873,1851,1851
1414312,1867,1855,1859
1414322,1883,1872,1877
1414332,1880,1870,1872
1414342,1879,1865,1872
1414352,1893,1858,1860
1414362,1883,1857,1863
1414372,1903,1861,1879
1414382,1902,1872,1875
1414392,1898,1866,1877
1414402,1898,1857,1866
1414412,1891,1866,1870
1414422,1887,1873,1874
1414432,1894,1872,1874
1414442,1888,1869,1874
1414452,1873,1854,1851
1414462,1872,1865,1865
1414472,1874,1872,1883
1414482,1879,1872,1872
1414492,1877,1872,1871
1414502,1869,1872,1870
1414512,1867,1857,1861
1414522,1865,1863,1861
1414532,1872,1866,1872
1414542,1869,1863,1865
1414552,1855,1862,1869
1414562,1867,1859,1856
1414572,1860,1857,1865
1414582,1870,1867,1863
1414592,1870,1863,1863
1414602,1867,1867,1867
1414612,1856,1859,1854
